serverId,user1,user2,user3,user4,rsType,timeStamp,queue
e8d9342910654a8e,755812802dcc0e15,a5573e71b7d02831,8dc0a5cf66847fea,"",7.5,1713117999,0
ff3b36757ea8b5e6,9b46dfd07b46e58f,47f2a3d283f41061,bc4ca771d95c6473,"",11.5,1713118401,0
ff3b36757ea8b5e6,81c70692ac7c5fdb,9b46dfd07b46e58f,47f2a3d283f41061,"",11.5,1713120038,0
ff3b36757ea8b5e6,820d0ab06c6133e3,00dccda3133736b3,9b46dfd07b46e58f,"",11.5,1713120824,0
ff3b36757ea8b5e6,4db3d6955dc271ef,00dccda3133736b3,380f8bf4ebac7482,"",11.5,1713122411,0
ff3b36757ea8b5e6,00dccda3133736b3,4db3d6955dc271ef,11de803b6629a3c5,"",11.5,1713123168,0
ff3b36757ea8b5e6,ccb116d4ba2c319f,bc48606638efd2a1,380f8bf4ebac7482,"",9.5,1713123574,0
ff3b36757ea8b5e6,061c74373b6f7125,11de803b6629a3c5,691ff9b8c436a373,"",9.5,1713125162,0
ff3b36757ea8b5e6,47f2a3d283f41061,4c4d5c01c43904a7,061c74373b6f7125,"",11.5,1713126331,0
ff3b36757ea8b5e6,81c70692ac7c5fdb,691ff9b8c436a373,00dccda3133736b3,"",11.5,1713126944,0
ff3b36757ea8b5e6,4c4d5c01c43904a7,47f2a3d283f41061,81c70692ac7c5fdb,"",11.5,1713127722,0
ff3b36757ea8b5e6,c3b6f1eb59c480de,bc4ca771d95c6473,00dccda3133736b3,"",9.5,1713128670,0
ff3b36757ea8b5e6,81c70692ac7c5fdb,00dccda3133736b3,691ff9b8c436a373,"",11.5,1713130308,0
ff3b36757ea8b5e6,551c6a3a81d5eb56,9b46dfd07b46e58f,061c74373b6f7125,"",11.5,1713134194,0
ff3b36757ea8b5e6,00dccda3133736b3,061c74373b6f7125,"","",11.5,1713136016,0
ff3b36757ea8b5e6,47f2a3d283f41061,061c74373b6f7125,"","",9.5,1713137152,0
ff3b36757ea8b5e6,061c74373b6f7125,"","","",11.5,1713138497,0
ff3b36757ea8b5e6,cd589696fbebfae6,f83ac39edb3a9592,a979ba1f2f91724d,"",9.5,1713140941,0
ff3b36757ea8b5e6,5a0fd524334c523b,f0d8694cf28b98e9,c06a90a6323cd3d9,"",9.5,1713142605,0
ff3b36757ea8b5e6,00dccda3133736b3,061c74373b6f7125,169401abecc89bb8,"",11.5,1713153925,0
ff3b36757ea8b5e6,169401abecc89bb8,00dccda3133736b3,061c74373b6f7125,"",11.5,1713154877,0
ff3b36757ea8b5e6,7853721533795359,c75f182ee2521ca3,85492ee6119cb56f,"",9.5,1713162679,0
ff3b36757ea8b5e6,4c4d5c01c43904a7,ecb1fcae1be59cd5,ef486baf8f9629aa,"",9.5,1713169516,0
ff3b36757ea8b5e6,3125cd176d1a5c91,981d4ee8cf22328c,"","",11.5,1713170124,0
ff3b36757ea8b5e6,d545068c03a69e3f,0bb6b067319dd98a,47f2a3d283f41061,"",9.5,1713179850,0
ff3b36757ea8b5e6,69ed8f83ed4656ea,bc4ca771d95c6473,369365f41f733cf3,"",11.5,1713181942,0
ff3b36757ea8b5e6,0bb6b067319dd98a,9cd4532ceb129298,6bbb54c7dd99ae53,"",9.5,1713185364,0
ff3b36757ea8b5e6,9cd4532ceb129298,0bb6b067319dd98a,7c6a72bdfcd351a1,"",9.5,1713185991,0
ff3b36757ea8b5e6,0d6f266d349717a9,cd589696fbebfae6,d2c511a39f55defc,"",11.5,1713189751,0
ff3b36757ea8b5e6,3bccd14e45e9ef85,4c4d5c01c43904a7,0d6f266d349717a9,"",11.5,1713190327,0
ff3b36757ea8b5e6,9b46dfd07b46e58f,061c74373b6f7125,820d0ab06c6133e3,"",9.5,1713193470,0
ff3b36757ea8b5e6,81c70692ac7c5fdb,9b46dfd07b46e58f,601b6d8c4e1f0d63,"",9.5,1713194668,0
ff3b36757ea8b5e6,601b6d8c4e1f0d63,9b46dfd07b46e58f,68502e1aaa270508,"",9.5,1713195333,0
ff3b36757ea8b5e6,0bb6b067319dd98a,27a6430a7f7b62f3,601b6d8c4e1f0d63,"",11.5,1713196294,0
ff3b36757ea8b5e6,4db3d6955dc271ef,dbab860c98d7bda9,a979ba1f2f91724d,"",9.5,1713204043,0
ff3b36757ea8b5e6,e09c04e340bae550,0516be96ef720a96,bc48606638efd2a1,"",9.5,1713205580,0
ff3b36757ea8b5e6,9b46dfd07b46e58f,d545068c03a69e3f,820d0ab06c6133e3,"",11.5,1713208319,0
ff3b36757ea8b5e6,9a9fb7690848b753,ccb116d4ba2c319f,551c6a3a81d5eb56,"",9.5,1713208831,0
ff3b36757ea8b5e6,9b46dfd07b46e58f,d545068c03a69e3f,3125cd176d1a5c91,"",11.5,1713209864,0
ff3b36757ea8b5e6,9a9fb7690848b753,cacad6a25391ef0b,691ff9b8c436a373,"",9.5,1713212028,0
ff3b36757ea8b5e6,9b46dfd07b46e58f,7853721533795359,47f2a3d283f41061,"",11.5,1713212694,0
ff3b36757ea8b5e6,ef486baf8f9629aa,bc4ca771d95c6473,9a9fb7690848b753,"",9.5,1713213172,0
ff3b36757ea8b5e6,061c74373b6f7125,7853721533795359,11de803b6629a3c5,"",9.5,1713214473,0
